"drug","patient_count"
"Sodium Chloride 0.9%  Flush","4017"
"Acetaminophen","3632"
"Heparin","3603"
"Senna","3280"
"Docusate Sodium","3029"
"Ondansetron","2611"
"Magnesium Sulfate","2486"
"0.9% Sodium Chloride","2448"
"Albuterol 0.083% Neb Soln","2360"
"Bisacodyl","2158"
"Potassium Chloride","2126"
"Bag","2097"
"Polyethylene Glycol","1983"
"Iso-Osmotic Dextrose","1916"
"HYDROmorphone (Dilaudid)","1910"
"Lactated Ringers","1806"
"5% Dextrose","1776"
"Insulin","1593"
"Vancomycin","1556"
"Furosemide","1524"
"Aspirin","1473"
"Morphine Sulfate","1465"
"Metoprolol Tartrate","1457"
"Sodium Chloride 0.9%","1448"
"Dextrose 50%","1391"
"Glucagon","1388"
"Omeprazole","1319"
"OxyCODONE (Immediate Release)","1280"
"Vial","1275"
"Pantoprazole","1257"
"Ipratropium Bromide Neb","1182"
"Neutra-Phos","1169"
"Dexamethasone","1163"
"Lorazepam","1153"
"OxycoDONE (Immediate Release) ","1131"
"Heparin Flush (10 units/ml)","1130"
"Glucose Gel","1061"
"Calcium Gluconate","1044"
"Atorvastatin","1034"
"CefePIME","1016"
"Albuterol Inhaler","1009"
"SW","987"
"Influenza Vaccine Quadrivalent","970"
"Lidocaine 5% Patch","970"
"LORazepam","940"
"Famotidine","932"
"Acetaminophen IV","926"
"Prochlorperazine","920"
"0.9% Sodium Chloride (Mini Bag Plus)","877"
"Ipratropium-Albuterol Neb","837"
"Calcium Carbonate","819"
"FoLIC Acid","815"
"D5 1/2NS","799"
"Heparin Sodium","799"
"NS","769"
"Multivitamins","760"
"Fentanyl Citrate","741"
"Enoxaparin Sodium","727"
"Gabapentin","723"
"Lisinopril","723"
"Metoprolol Succinate XL","721"
"Vitamin D","714"
"Levofloxacin","706"
"PredniSONE","703"
"Influenza Virus Vaccine","699"
"Potassium Chloride Replacement (Critical Care and Oncology) ","690"
"Ramelteon","688"
"Lidocaine 1%","687"
"Iso-Osmotic Sodium Chloride","676"
"Milk of Magnesia","662"
"Benzonatate","659"
"Simvastatin","639"
"Tiotropium Bromide","631"
"TraZODone","621"
"Levothyroxine Sodium","612"
"Azithromycin","609"
"Lactulose","597"
"Readi-Cat 2 (Barium Sulfate 2% Suspension)","597"
"Magnesium Oxide","594"
"CefTRIAXone","567"
"Propofol","558"
"Soln","557"
"Ketorolac","557"
"Sterile Water","556"
"Piperacillin-Tazobactam","544"
"DiphenhydrAMINE","538"
"Chlorhexidine Gluconate 0.12% Oral Rinse","521"
"Pneumococcal Vac Polyvalent","512"
"Potassium Phosphate","496"
"Acetylcysteine 20%","495"
"Nicotine Patch","480"
"PNEUMOcoccal 23-valent polysaccharide vaccine","475"
"Tamsulosin","465"
"Haloperidol","462"
"Phosphorus","457"
"Heparin Flush (100 units/ml)","457"
"Lidocaine 1% (For PICC/Midline Insertions)","449"
"MetroNIDAZOLE","448"
"Fluticasone-Salmeterol Diskus (250/50) ","439"
"Ibuprofen","438"
"Dextrose 5%","414"
"Diltiazem","411"
"Midazolam","408"
"Multivitamins W/minerals","406"
"HYDROmorphone","400"
"Nystatin Oral Suspension","397"
"GuaiFENesin","382"
"Docusate Sodium (Liquid)","382"
"amLODIPine","370"
"Ondansetron ODT","364"
"Thiamine","364"
"PHENYLEPHrine","363"
"MetRONIDAZOLE (FLagyl)","362"
"NORepinephrine","358"
"MethylPREDNISolone Sodium Succ","355"
"Simethicone","351"
"Mirtazapine","350"
"CefazoLIN","347"
"Hydrochlorothiazide","344"
"Ranitidine","343"
"TraMADol","343"
"Warfarin","342"
"CeftriaXONE","342"
"GuaiFENesin ER","339"
"HydrALAZINE","337"
"Phytonadione","335"
"Sodium Phosphate","333"
"Sodium Chloride Nasal","330"
"D5W","330"
"Fluticasone Propionate NASAL","321"
"Potassium Chloride (Powder)","321"
"Lidocaine Jelly 2% (Glydo)","320"
"Ciprofloxacin HCl","318"
"Cyanocobalamin","318"
"Enoxaparin (Prophylaxis)","318"
"Guaifenesin","314"
"Scopolamine Patch","306"
"Morphine SR (MS Contin)","305"
"LR","305"
"Aluminum-Magnesium Hydrox.-Simethicone","305"
"Atenolol","304"
"Bupivacaine 0.1%","298"
"Apixaban","297"
"Allopurinol","297"
"Amlodipine","294"
"HydrALAzine","293"
"Labetalol","291"
"LevETIRAcetam","286"
"Zolpidem Tartrate","284"
"TraMADOL (Ultram)","283"
"traZODONE","281"
"QUEtiapine Fumarate","280"
"Losartan Potassium","278"
"Metoclopramide","277"
"LeVETiracetam","276"
"Sodium Chloride 3% Inhalation Soln","276"
"Morphine Sulfate IR","274"
"Fentanyl Patch","274"
"Guaifenesin-CODEINE Phosphate","273"
"Ipratropium Bromide MDI","273"
"Maalox/Diphenhydramine/Lidocaine","269"
"Lidocaine Jelly 2% (Urojet)","269"
"Glycopyrrolate","267"
"Oxycodone-Acetaminophen","265"
"Fluticasone Propionate 110mcg","264"
"Lansoprazole Oral Disintegrating Tab","263"
"Sarna Lotion","262"
"Alteplase (Catheter Clearance)","262"
"Amiodarone","259"
"Syringe (0.9% Sodium Chloride)","252"
"Clopidogrel","251"
"Potassium Chl 20 mEq / 1000 mL D5 1/2 NS","250"
"Yellow CADD Cassette","246"
"Amoxicillin-Clavulanic Acid","244"
"Sodium Bicarbonate","243"
"Acetaminophen (Liquid)","237"
"Ferrous Sulfate","234"
"Naloxone","233"
"Guaifenesin-Dextromethorphan","229"
"D5NS","226"
"Sulfameth/Trimethoprim DS","225"
"OLANZapine (Disintegrating Tablet)","222"
"Dexmedetomidine","221"
"CARBOplatin","220"
"0.45% Sodium Chloride","215"
"Pravastatin","213"
"Influenza Vaccine High-Dose Quadrivalent","212"
"1/2 NS","211"
"Artificial Tears","210"
"Potassium Chloride Replacement (Oncology)","208"
"Syringe","207"
"Sertraline","204"
"Citalopram","203"
"CeFAZolin","203"
"Ampicillin-Sulbactam","199"
"Rosuvastatin Calcium","197"
"Cepacol (Sore Throat Lozenge)","192"
"Fluconazole","187"
"Azithromycin ","183"
"OLANZapine","183"
"Diltiazem Extended-Release","182"
"Nitroglycerin SL","181"
"Digoxin","180"
"Etoposide","179"
"Diazepam","175"
"Magnesium Citrate","174"
"OxyCODONE SR (OxyconTIN)","171"
"LOPERamide","170"
"Vasopressin","169"
"Ciprofloxacin IV","168"
"Hydrocortisone Na Succ.","163"
"CefTAZidime","159"
"Lidocaine Viscous 2%","158"
"Sodium Chloride","158"
"Sulfameth/Trimethoprim SS","154"
"Finasteride","151"
"OxycoDONE Liquid","150"
"Cyclobenzaprine","150"
"MetFORMIN (Glucophage)","149"
"Oxycodone SR (OxyconTIN)","148"
"Fosaprepitant","146"
"Torsemide","144"
"Ascorbic Acid","144"
"Fluticasone-Salmeterol Diskus (500/50) ","141"
"Miconazole Powder 2%","141"
"Latanoprost 0.005% Ophth. Soln.","140"
"Chloraseptic Throat Spray","139"
"Pregabalin","136"
"Sodium Polystyrene Sulfonate","134"
"Cepacol (Menthol)","133"
"Cefpodoxime Proxetil","133"
"Doxycycline Hyclate","132"
"Isosorbide Mononitrate (Extended Release)","132"
"Guaifenesin ER","132"
"Morphine Sulfate (Oral Soln.)","131"
"Vancomycin Oral Liquid","131"
"Acyclovir","131"
"Sucralfate","129"
"Spironolactone","129"
"Albumin 25% (12.5g / 50mL)","125"
"Albumin 5% (12.5g / 250mL)","123"
"ClonazePAM","122"
"Fluticasone-Salmeterol Diskus (100/50)","122"
"ALPRAZolam","122"
"GuaiFENesin-Dextromethorphan","119"
"Aspirin EC","119"
"Meropenem","116"
"Pantoprazole Sodium","116"
"Clindamycin","114"
"Potassium Chl 20 mEq / 1000 mL NS","113"
"Codeine Sulfate","111"
"Pamidronate","111"
"D5LR","110"
"5% Dextrose (EXCEL BAG)","108"
"Dexamethasone Sod Phosphate","108"
"Dextrose 10% in Water (D10W)","105"
"Filgrastim","104"
"Hyoscyamine","104"
"HydrOXYzine","103"
"Valsartan","103"
"Dronabinol","102"
"Promethazine","101"
"Levalbuterol Neb","101"
"Enoxaparin (Treatment)","100"
"OxyCODONE SR (OxyCONTIN)","99"
"Naproxen","98"
"Megestrol Acetate","96"
"NS Syringe (Intrapleural)","95"
"Lidocaine 1%/Epinephrine 1:100,000","95"
"Escitalopram Oxalate","94"
"Carvedilol","94"
"Iohexol 240 (Omnipaque 240)","93"
"NiCARdipine IV","92"
"Morphine Sulfate (Oral Solution) 2 mg/mL","90"
"Loratadine","90"
"Vitamin D3 (Cholecalciferol)","88"
"NS (Mini Bag Plus)","87"
"Phenylephrine","87"
"MethylPHENIDATE (Ritalin)","86"
"Alteplase","85"
"BuPROPion (Sustained Release)","84"
"Methadone","84"
"Albuterol-Ipratropium","84"
"Nitroglycerin","83"
"LevoFLOXacin","83"
"Potassium Chl 40 mEq / 1000 mL NS","82"
"Acetaminophen-Caff-Butalbital","81"
"Morphine Sulfate (Concentrated Oral Soln)","81"
"Fleet Enema","81"
"Oxycodone-Acetaminophen (5mg-325mg)","80"
"Rivaroxaban","80"
"Fexofenadine","80"
"Midodrine","79"
"Piperacillin-Tazobactam Na","78"
"Aquaphor Ointment","77"
"Cosyntropin","77"
"Insulin (Regular) for Hyperkalemia","75"
"Erythromycin 0.5% Ophth Oint","74"
"Methylnaltrexone","72"
"Olanzapine (Disintegrating Tablet)","71"
"Clonazepam","70"
"FLUoxetine","70"
"Cepastat (Phenol) Lozenge","69"
"Artificial Tear Ointment","69"
"Fish Oil (Omega 3)","69"
"Venlafaxine XR","69"
"GuaiFENesin-CODEINE Phosphate","67"
"Quetiapine Fumarate","66"
"Dexamethasone Sod Phos","66"
"Colchicine","66"
"Hydrocodone-Acetaminophen","66"
"Citalopram Hydrobromide","65"
"Potassium Chl 40 mEq / 1000 mL D5 1/2 NS","64"
"Ezetimibe","64"
"Albumin 5% (25g / 500mL)","64"
"Cetirizine","64"
"HYDROmorphone P.F.","61"
"Amitriptyline","61"
"Cephalexin","61"
"Fleet Enema (Saline)","60"
"Montelukast","60"
"Baclofen","59"
"CARVedilol","58"
"Donepezil","58"
"Filgrastim-sndz","58"
"Calcium Replacement (Oncology)","58"
"Insulin Human Regular","58"
"Potassium Citrate","58"
"Captopril","58"
"Nystatin","58"
"Phenytoin Sodium","57"
"Timolol Maleate 0.5%","57"
"CISplatin","57"
"Fluoxetine","57"
"Loperamide","56"
"Syringe (Sterile Water)","56"
"Lidocaine 5% Ointment","55"
"Morphine Sulfate (Concentrated Oral Solution) 20 mg/mL","54"
"Oxymetazoline","54"
"GlipiZIDE","54"
"Lidocaine 2%","53"
"Fludrocortisone Acetate","52"
"Brimonidine Tartrate 0.15% Ophth.","52"
"Tizanidine","52"
"OxyCODONE Liquid","52"
"Fleet Enema (Mineral Oil)","52"
"Alendronate Sodium","51"
"Multivitamin IV","50"
"Cisatracurium Besylate","50"
"Acetaminophen w/Codeine","50"
"Oxybutynin","50"
"0.83% Sodium Chloride","50"
"MoviPrep","49"
"Esmolol","49"
"Rocuronium","48"
"Verapamil SR","48"
"Meclizine","48"
"Doxazosin","48"
"Albumin 5%","48"
"Olanzapine","48"
"Dornase alfa","48"
"NIFEdipine CR","47"
"Gastroview (Diatrizoate Meglumine & Sodium)","47"
"sevelamer CARBONATE","47"
"Nicotine Lozenge","47"
"Atovaquone Suspension","46"
"PACLItaxel (TaxOL)","46"
"Mannitol","46"
"Caphosol","46"
"Enalapril Maleate","46"
"DULoxetine DR","45"
"Potassium Chl 20 mEq / 1000 mL D5NS","45"
"Epidural Bag","45"
"Alprazolam","45"
"Calcitriol","45"
"Paroxetine","44"
"Linezolid","44"
"0.9% Sodium Chloride (EXCEL BAG)","44"
"Ampicillin Sodium","44"
"Tranexamic Acid","44"
"Micafungin","44"
"Norepinephrine","44"
"Fluticasone-Salmeterol (250/50) ","43"
"Sodium CITRATE 4%","43"
"PNEUMOcoccal Vac Polyvalent","43"
"Isosorbide Dinitrate","43"
"BuPROPion","42"
"Nephrocaps","42"
"Atropine Sulfate","42"
"Hydrocortisone Cream 1%","41"
"Tuberculin Protein","41"
"Xopenex Neb","41"
"Mouth Care Oral Rinse","41"
"Diazepam - CIWA protocol","41"
"Calcitonin Salmon","40"
"Desmopressin Acetate","40"
"Psyllium Powder","40"
"Ferric Gluconate","39"
"ChlorproMAZINE","39"
"Succinylcholine","38"
"Divalproex (DELayed Release)","38"
"Calcium Gluconate sliding scale (Critical Care-Ionized calcium)","38"
"Artificial Tears Preserv. Free","38"
"EPINEPHrine","38"
"300 mcg Vial","38"
"D10W","38"
"Albumin 25%","38"
"Diphenoxylate-Atropine","37"
"Artificial Tears GEL 1%","37"
"Metoprolol","37"
"Racepinephrine","37"
"Terazosin","37"
"Clotrimazole","36"
"Salmeterol Xinafoate Diskus (50 mcg)","36"
"Chlorothiazide Sodium","36"
"PrednisoLONE Acetate 1% Ophth. Susp.","36"
"ValACYclovir","35"
"CloNIDine","35"
"Pyridoxine","35"
"Pemetrexed","35"
"Meperidine","35"
"BusPIRone","34"
"Hydrocerin","34"
"Metolazone","34"
"Verapamil","34"
"OxycoDONE-Acetaminophen Elixir","34"
"Phenazopyridine","34"
"Valproate Sodium","34"
"Talc (Sterile)","34"
"Ipratropium-Albuterol Inhalation Spray","34"
"Montelukast Sodium","34"
"Phenytoin Sodium Extended","33"
"Phenytoin","33"
"Zinc Sulfate","33"
"osimertinib","33"
"Capsaicin 0.025%","33"
"Neomycin-Polymyxin-Bacitracin","33"
"Lidocaine 1%/Epinephrine 1:100000","33"
"MetFORMIN XR (Glucophage XR)","33"
"Gentamicin","33"
"Bupivacaine 0.5%","33"
"Sodium Chloride 3% (Hypertonic)","32"
"Albuterol MDI","32"
"CloniDINE","32"
"Valproic Acid","32"
"Memantine","32"
"Duloxetine","32"
"Nitroprusside Sodium","32"
"Prismasate (B32 K2)","32"
"OSELTAMivir","32"
"Lactulose Enema","31"
"OxyCODONE--Acetaminophen (5mg-325mg)","31"
"Octreotide Acetate","31"
"Hydroxychloroquine Sulfate","31"
"OxycoDONE (Concentrated Oral Soln)","31"
"Vitamin B Complex","31"
"AcetaZOLamide Sodium","31"
"GlipiZIDE XL","31"
"Argatroban","30"
"Carbidopa-Levodopa (25-100)","30"
"Hydrocortisone (Rectal) 2.5% Cream","30"
"LACOSamide","30"
"Propranolol","30"
"Chlorthalidone","30"
"Potassium Chl 40 mEq / 1000 mL D5NS","30"
"Dorzolamide 2%/Timolol 0.5% Ophth.","30"
"Soln.","29"
"BuPROPion XL (Once Daily)","29"
"Adenosine","29"
"Nortriptyline","29"
"Creon 12","29"
"Tacrolimus","29"
"NS (0.9% NaCl)","29"
"Hydrocortisone","28"
"DOPamine","28"
"Mucinex","28"
"Psyllium","28"
"Lidocaine 0.5%","28"
"Citrate Dextrose 3% (ACD-A) CRRT","27"
"Codeine Phosphate","27"
"LamoTRIgine","27"
"Nadolol","27"
"Heparin (CRRT Machine Priming)","27"
"Topiramate (Topamax)","27"
"Amoxicillin","27"
"Golytely","27"
"Budesonide","26"
"Heparin Flush (1000 units/mL)","26"
"Nitrofurantoin Monohyd (MacroBID)","26"
"Sulfamethoxazole-Trimethoprim","26"
"0.9% NaCl (EXCEL/ViaFLO BAG)","26"
"Aztreonam","26"
"Ketamine","26"
"Clobetasol Propionate 0.05% Cream","25"
"D5W (EXCEL BAG)","25"
"Isotonic Sodium Chloride","25"
"Psyllium Wafer","25"
"Lidocaine Jelly 2%","25"
"Nystatin Cream","25"
"Ranitidine (Liquid)","25"
"Triamcinolone Acetonide 0.1% Ointment","25"
"Triamcinolone Acetonide 0.1% Cream","25"
"DOBUTamine","25"
"PARoxetine","25"
"Atropine Sulfate 1%","24"
"Zoledronic Acid","24"
"Heparin Dwell (1000 Units/mL)","24"
"Xopenex","24"
"NS Epidural Bag","24"
"Albuterol","24"
"Dextromethorphan Polistirex","24"
"Nicotine Polacrilex","24"
"Hydrocortisone Cream 2.5%","23"
"*NF* Erlotinib","23"
"Multivitamins W/minerals Chewable","23"
"Fenofibrate","23"
"Maalox/Lidocaine","23"
"DULoxetine","23"
"GlyBURIDE","23"
"Mycophenolate Mofetil","23"
"Dorzolamide 2% Ophth. Soln.","23"
"Ursodiol","23"
"Lidocaine-Prilocaine","22"
"Vitamin E","22"
"Magnesium Sulfate Replacement (Oncology)","22"
"AcetaZOLamide","22"
"Emtricitabine-Tenofovir (Truvada)","22"
"Diclofenac Topical Gel 1%","22"
"Venlafaxine","22"
"Bengay Cream","22"
"Rifaximin","22"
"HYDROmorphone-HP","21"
"Clotrimazole Cream","21"
"Symbicort","21"
"Miconazole 2% Cream","21"
"Epinephrine 1:1000","21"
"Glycerin Supps","21"
"Cilostazol","21"
"Dextromethorphan-Guaifenesin (Sugar Free)","21"
"Triamterene-Hydrochlorothiazide","21"
"Etomidate","20"
"Amino Acids 5%-Dextrose 15%","20"
"0.9% Sodium Chl (Yellow CADD)","20"
"Prismasate (B22 K4)","20"
"Epoetin Alfa","20"
"Phenytoin (Suspension)","20"
"Clobetasol Propionate 0.05% Ointment","20"
"Benztropine Mesylate","20"
"LaMOTrigine","19"
"Dextromethorphan Poly Complex","19"
"RisperiDONE","19"
"Zonisamide","19"
"Voriconazole","19"
"Divalproex (EXTended Release)","19"
"Bacitracin Ointment","18"
"Pramipexole","18"
"MetOLazone","18"
"Pantoprazole (Granules for DR Suspension)","18"
"Methocarbamol","18"
"Nafcillin","18"
"Sotalol","18"
"Oseltamivir","18"
"Tolterodine","18"
"Tobramycin Sulfate","17"
"Blue CADD Cassette","17"
"Calcium Acetate","17"
"Morphine Infusion – Comfort Care Guidelines","17"
"Isosorbide Mononitrate","17"
"GammaGARD Liquid","17"
"EPINEPHrine (EpiPEN)","17"
"Celecoxib","17"
"Nitroglycerin Ointment  2%","17"
"Ropivacaine 0.2%","17"
"Iohexol 240","17"
"Potassium Chl 20 mEq / 1000 mL D5LR","17"
"Atropine Sulfate Ophth 1%","16"
"HYDROcodone-Acetaminophen (5mg-325mg)","16"
"Hydrocodone-Acetaminophen (5mg-325mg)","16"
"Famotidine (IV)","16"
"Pseudoephedrine","16"
"Chlorpheniramine-Hydrocodone","16"
"Promethazine HCl","16"
"Mupirocin Ointment 2%","16"
"Daptomycin","16"
"LevETIRAcetam Oral Solution","16"
"Bumetanide","16"
"Temazepam","16"
"Gelclair","16"
"Syringe (Chemo)","16"
"Rasburicase","16"
"Mannitol 20%","15"
"Ibuprofen Suspension","15"
"Mineral Oil","15"
"Sumatriptan Succinate","15"
"Anastrozole","15"
"Fondaparinux Sodium","15"
"NS Epidural Bag (0.9% NaCl)","15"
"Vancomycin – Pharmacy to Dose (ID Consult ONLY)","15"
"Aprepitant","15"
"Pancrelipase 5000","15"
"Bismuth Subsalicylate","14"
"Sodium Chloride 0.9%  Flush for CRRT","14"
"Risperidone","14"
"Sodium Glycerophosphate","14"
"Sulfameth/Trimethoprim Suspension","14"
"Propranolol LA","14"
"Dabigatran Etexilate","14"
"Tenofovir Disoproxil (Viread)","14"
"Timolol Maleate 0.25%","14"
"Amino Acids 4.25%-Dextrose 5%","14"
"NIFEdipine (Extended Release)","14"
"Gemfibrozil","14"
"Acetylcysteine Inhaled – For interventional pulmonary use only","14"
"Hespan","14"
"Hydromorphone (Oral Solution) 1 mg/1 mL","14"
"Lidocaine 2%/Epi 1:100,000","14"
"LeVETiracetam Oral Solution","13"
"Fosphenytoin","13"
"Lovastatin","13"
"Heparin Flush Port (10 units/mL)","13"
"Niacin SR","13"
"Mesalamine DR","13"
"Pioglitazone","13"
"PHENObarbital","13"
"Flecainide Acetate","13"
"COVID-19 Vaccine (PFIZER)","13"
"Mannitol 20 %","13"
"Isoniazid","13"
"Calcium Chloride","13"
"Calcium Carbonate Suspension","13"
"Minocycline","13"
"ARIPiprazole","12"
"Neostigmine","12"
"Quinapril","12"
"Felodipine","12"
"Methotrexate","12"
"Amoxicillin-Clavulanate Susp.","12"
"Heparin Flush CVL  (100 units/ml)","12"
"Heparin (Hemodialysis)","12"
"erlotinib","12"
"Ramipril","12"
"NIFEdipine","12"
"budesonide","12"
"DICYCLOMine","12"
"Lidocaine 1% P.F.","12"
"LaMIVudine","12"
"Cholestyramine","12"
"Indomethacin","12"
"Erythromycin","12"
"Vecuronium Bromide","11"
"Click Change <--- to Choose a Base Solution","11"
"Clonidine Patch 0.1 mg/24 hr","11"
"Gemcitabine","11"
"Ertapenem Sodium","11"
"Nitroglycerin Patch","11"
"DOCEtaxel (TaxoTERE)","11"
"Divalproex Sod. Sprinkles","11"
"Nitrofurantoin (Macrodantin)","11"
"Oxazepam","11"
"RiTONAvir","11"
"Dipyridamole-Aspirin","11"
"Lidocaine 0.5%/Epinephrine","11"
"rifAXIMin","11"
"Entecavir","11"
"INV-OTL-38","11"
"Ketoconazole 2% ","11"
"0.75% Sodium Chloride","11"
"Carbamide Peroxide 6.5%","11"
"Triamcinolone Acetonide 0.025% Cream","11"
"PHENObarbital Alcohol Withdrawal Dose Taper (Days 2-7)","11"
"Tarceva","11"
"crizotinib","11"
"Leucovorin Calcium","10"
"tiZANidine","10"
"Benzocaine-Menthol (Sore Throat Lozenge)","10"
"Hydrocortisone Cream 0.5%","10"
"CRRT","10"
"Hydrocortisone Acetate Suppository","10"
"Lithium Carbonate","10"
"Sacubitril-Valsartan (24mg-26mg)","10"
"PHENObarbital - ICU Alcohol Withdrawal (Initial Load / Rescue Dose)","10"
"Potassium Bicarbonate Eff","10"
"Triamterene-HCTZ (37.5/25)","10"
"Witch Hazel 50% Pad","10"
"Rifampin","10"
"Phenytoin Infatab","10"
"Hydrocodone-Acetaminophen (5mg-500mg)","10"
"Tamoxifen Citrate","10"
"Raltegravir","10"
"Epoprostenol (Veletri)","10"
"Aluminum Hydroxide Suspension","10"
"rOPINIRole","10"
"Estrogens Conjugated","10"
"Propoxyphene Nap.-Apap (N-100)","10"
"Fat Emulsion 20%","10"
"Vitamin D2 (Ergocalciferol)","10"
"Methylphenidate","10"
"5% Dextrose (Non DEHP)","10"
"PEMEtrexed","10"
"Mupirocin Nasal Ointment 2%","10"
"Niacin","10"
"Bupivacaine 0.05%","9"
"Febuxostat","9"
"Amphetamine-Dextroamphetamine","9"
"Remdesivir","9"
"Ampicillin","9"
"Betamethasone Dipro 0.05% Oint","9"
"Albumin 5% ","9"
"Letrozole","9"
"Ferrous GLUCONATE","9"
"Carbamazepine","9"
"Dolutegravir","9"
"Metoprolol XL (Toprol XL)","9"
"Ciprofloxacin 0.3% Ophth Soln","9"
"Erlotinib","9"
"Lidocaine 4%","9"
"Mupirocin Cream 2%","9"
"Sodium Chloride 0.9%  (Mini Bag Plus)","9"
"Dapsone","9"
"Flumazenil","9"
"CeftazIDIME","9"
"Clozapine","9"
"Atazanavir","9"
"Fondaparinux","9"
"Ethambutol HCl","9"
"Eplerenone","8"
"Cimetidine","8"
"Sildenafil","8"
"QUEtiapine extended-release","8"
"Syringe (SW)","8"
"Ropinirole","8"
"Gentamicin Sulfate","8"
"Collagenase Ointment","8"
"Milrinone","8"
"Anoro Ellipta","8"
"Methimazole","8"
"Ranolazine ER","8"
"Syringe (Iso-Osmotic Dextrose)","8"
"Clindamycin 1% Solution","8"
"Ambisome","8"
"anastrozole","8"
"TiCAGRELOR","8"
"OXcarbazepine","8"
