"drug","patient_count"
"Sodium Chloride 0.9%  Flush","1639"
"Heparin","1479"
"Acetaminophen","1390"
"0.9% Sodium Chloride","1389"
"Senna","1377"
"Magnesium Sulfate","1292"
"Bag","1125"
"Iso-Osmotic Dextrose","1109"
"Docusate Sodium","1097"
"Potassium Chloride","1084"
"5% Dextrose","1019"
"Albuterol 0.083% Neb Soln","980"
"Bisacodyl","957"
"Vancomycin","956"
"Ondansetron","936"
"Insulin","895"
"Furosemide","857"
"Calcium Gluconate","831"
"Dextrose 50%","815"
"Glucagon","789"
"Metoprolol Tartrate","769"
"Lactated Ringers","749"
"Polyethylene Glycol","731"
"Morphine Sulfate","719"
"Vial","711"
"Sodium Chloride 0.9%","705"
"HYDROmorphone (Dilaudid)","687"
"Fentanyl Citrate","646"
"Heparin Flush (10 units/ml)","640"
"Famotidine","623"
"SW","621"
"CefePIME","620"
"Ipratropium Bromide Neb","600"
"Pantoprazole","595"
"Glucose Gel","591"
"Aspirin","573"
"Neutra-Phos","570"
"Acetaminophen IV","548"
"Iso-Osmotic Sodium Chloride","539"
"Propofol","538"
"Lorazepam","519"
"0.9% Sodium Chloride (Mini Bag Plus)","516"
"Chlorhexidine Gluconate 0.12% Oral Rinse","483"
"Albuterol Inhaler","482"
"Dexamethasone","474"
"Soln","474"
"Potassium Chloride Replacement (Critical Care and Oncology) ","460"
"Omeprazole","448"
"LORazepam","439"
"Ipratropium-Albuterol Neb","439"
"Sterile Water","419"
"OxycoDONE (Immediate Release) ","413"
"Atorvastatin","412"
"OxyCODONE (Immediate Release)","411"
"Heparin Sodium","404"
"NS","403"
"Piperacillin-Tazobactam","358"
"NORepinephrine","357"
"Influenza Vaccine Quadrivalent","357"
"Midazolam","349"
"PHENYLEPHrine","349"
"Lidocaine 5% Patch","331"
"PredniSONE","321"
"D5 1/2NS","311"
"Levofloxacin","310"
"FoLIC Acid","302"
"Lidocaine 1% (For PICC/Midline Insertions)","297"
"Docusate Sodium (Liquid)","284"
"Enoxaparin Sodium","283"
"Potassium Phosphate","278"
"Metoprolol Succinate XL","275"
"Tiotropium Bromide","273"
"Lidocaine 1%","264"
"Azithromycin","264"
"Diltiazem","262"
"Prochlorperazine","262"
"Dextrose 5%","257"
"Acetylcysteine 20%","257"
"Levothyroxine Sodium","254"
"Calcium Carbonate","254"
"Haloperidol","253"
"MetroNIDAZOLE","252"
"Benzonatate","249"
"Gabapentin","248"
"Influenza Virus Vaccine","246"
"Readi-Cat 2 (Barium Sulfate 2% Suspension)","241"
"Multivitamins","241"
"Ramelteon","241"
"TraZODone","239"
"MethylPREDNISolone Sodium Succ","233"
"Lisinopril","226"
"CefTRIAXone","224"
"Phosphorus","222"
"Simvastatin","220"
"Dexmedetomidine","218"
"HYDROmorphone","213"
"Sodium Phosphate","212"
"Ipratropium Bromide MDI","207"
"DiphenhydrAMINE","202"
"HydrALAZINE","201"
"Lactulose","200"
"Thiamine","200"
"Vitamin D","199"
"Lidocaine Jelly 2% (Glydo)","197"
"Nicotine Patch","197"
"Magnesium Oxide","196"
"PNEUMOcoccal 23-valent polysaccharide vaccine","196"
"Labetalol","193"
"Glycopyrrolate","192"
"Amiodarone","188"
"Pneumococcal Vac Polyvalent","184"
"Phytonadione","183"
"Milk of Magnesia","183"
"HydrALAzine","182"
"Potassium Chloride (Powder)","182"
"Fluticasone-Salmeterol Diskus (250/50) ","180"
"GuaiFENesin","178"
"D5W","177"
"QUEtiapine Fumarate","177"
"Lansoprazole Oral Disintegrating Tab","175"
"Alteplase (Catheter Clearance)","174"
"Scopolamine Patch","173"
"Tamsulosin","173"
"MetRONIDAZOLE (FLagyl)","173"
"Nystatin Oral Suspension","170"
"Vasopressin","167"
"Syringe (0.9% Sodium Chloride)","166"
"Multivitamins W/minerals","163"
"Lidocaine Jelly 2% (Urojet)","160"
"Sodium Bicarbonate","157"
"Heparin Flush (100 units/ml)","156"
"Bupivacaine 0.1%","152"
"LeVETiracetam","150"
"Sodium Chloride 3% Inhalation Soln","150"
"LevETIRAcetam","146"
"Guaifenesin","143"
"CefazoLIN","140"
"CeftriaXONE","138"
"Azithromycin ","135"
"Sodium Chloride Nasal","133"
"Warfarin","128"
"GuaiFENesin ER","125"
"Allopurinol","125"
"Metoclopramide","123"
"Yellow CADD Cassette","122"
"Simethicone","122"
"Ketorolac","121"
"Naloxone","120"
"Ranitidine","118"
"Apixaban","115"
"Hydrocortisone Na Succ.","115"
"Syringe","114"
"LR","112"
"CeFAZolin","111"
"amLODIPine","110"
"Mirtazapine","110"
"Acetaminophen (Liquid)","110"
"Fluticasone Propionate 110mcg","109"
"OLANZapine (Disintegrating Tablet)","109"
"Fluticasone Propionate NASAL","106"
"traZODONE","106"
"Sarna Lotion","106"
"Clopidogrel","106"
"Albumin 5% (12.5g / 250mL)","106"
"Ciprofloxacin HCl","104"
"Aluminum-Magnesium Hydrox.-Simethicone","104"
"CefTAZidime","104"
"Digoxin","101"
"Fentanyl Patch","100"
"Amlodipine","98"
"Morphine SR (MS Contin)","98"
"Albumin 25% (12.5g / 50mL)","97"
"Artificial Tears","96"
"Guaifenesin-CODEINE Phosphate","94"
"Ibuprofen","93"
"5% Dextrose (EXCEL BAG)","93"
"Ampicillin-Sulbactam","92"
"Cyanocobalamin","91"
"Hydrochlorothiazide","91"
"Ondansetron ODT","89"
"Meropenem","89"
"Potassium Chl 20 mEq / 1000 mL D5 1/2 NS","89"
"Sodium Chloride","89"
"TraMADol","88"
"Zolpidem Tartrate","87"
"TraMADOL (Ultram)","87"
"Atenolol","86"
"Potassium Chloride Replacement (Oncology)","85"
"Sulfameth/Trimethoprim DS","85"
"OLANZapine","83"
"Ferrous Sulfate","83"
"NiCARdipine IV","83"
"Maalox/Diphenhydramine/Lidocaine","82"
"Ciprofloxacin IV","81"
"Enoxaparin (Prophylaxis)","81"
"Fluconazole","80"
"Morphine Sulfate IR","79"
"Sertraline","79"
"Losartan Potassium","77"
"Vancomycin Oral Liquid","76"
"D5NS","75"
"Amoxicillin-Clavulanic Acid","74"
"Guaifenesin-Dextromethorphan","73"
"Citalopram","71"
"Phenylephrine","70"
"Cepacol (Sore Throat Lozenge)","70"
"Diltiazem Extended-Release","69"
"Nitroglycerin SL","69"
"Influenza Vaccine High-Dose Quadrivalent","69"
"0.45% Sodium Chloride","68"
"Sodium Polystyrene Sulfonate","67"
"Guaifenesin ER","67"
"Miconazole Powder 2%","67"
"Rosuvastatin Calcium","67"
"Diazepam","66"
"Hyoscyamine","66"
"Chloraseptic Throat Spray","66"
"1/2 NS","65"
"Levalbuterol Neb","62"
"Oxycodone-Acetaminophen","61"
"Fluticasone-Salmeterol Diskus (500/50) ","61"
"Potassium Chl 20 mEq / 1000 mL NS","61"
"Nitroglycerin","61"
"LOPERamide","60"
"Pravastatin","60"
"CARBOplatin","60"
"Sulfameth/Trimethoprim SS","58"
"Artificial Tear Ointment","57"
"Morphine Sulfate (Oral Soln.)","56"
"Insulin Human Regular","56"
"Pantoprazole Sodium","55"
"Insulin (Regular) for Hyperkalemia","55"
"Magnesium Citrate","52"
"OxyCODONE SR (OxyconTIN)","51"
"Lidocaine Viscous 2%","51"
"OxycoDONE Liquid","51"
"Cisatracurium Besylate","50"
"Torsemide","50"
"Finasteride","50"
"Midodrine","49"
"Cepacol (Menthol)","49"
